Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
Chris Clemons,1997,1997,Christopher Hale Clemons,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,2.0,.000,8.53,5.0,2.0,3.0,0.0,0.0,0.0,12.2,19.0,13.0,12.0,4.0,11.0,0.0,8.0,1.0,0.0,1.0,67.0,53.0,8.79,2.368,13.5,2.8,7.8,5.7,0.73,9.24,5.27,-0.19,-0.09,96.9,5.20,-6,-0.5,.22,0.1,-0.3,-4,.398,.497
Lance Clemons,1971,1974,Lance Levis Clemons,us,['Pitcher'],Left,Left,-,-,-,-,3.0,2.0,1.0,.667,6.06,19.0,4.0,8.0,0.0,0.0,0.0,35.2,42.0,31.0,24.0,4.0,21.0,3.0,23.0,3.0,0.0,6.0,174.0,60.0,4.65,1.766,10.6,1.0,5.3,5.8,1.10,7.82,4.09,0.04,-0.15,98.6,3.85,-16,-1.6,.92,0.2,-1.1,-13,.413,.496
Maikel Cleto,2011,2014,Maikel Jose Cleto,do,['Pitcher'],Right,Right,-,-,-,-,4.0,0.0,1.0,.000,6.60,41.0,0.0,14.0,0.0,0.0,0.0,45.0,49.0,36.0,33.0,10.0,30.0,2.0,58.0,6.0,0.0,4.0,219.0,59.0,5.82,1.756,9.8,2.0,6.0,11.6,1.93,7.20,4.15,-0.16,-0.31,97.7,3.92,-17,-1.6,.73,0.2,-1.0,-12,.460,.497
Reggie Cleveland,1969,1981,Reginald Leslie Cleveland,ca,['Pitcher'],Right,Right,-,-,-,-,13.0,105.0,106.0,.498,4.01,428.0,203.0,111.0,57.0,12.0,25.0,1809.0,1843.0,919.0,807.0,152.0,543.0,68.0,930.0,44.0,6.0,49.0,7731.0,96.0,3.62,1.319,9.2,0.8,2.7,4.6,1.71,4.57,4.20,0.06,-0.01,103.6,4.28,-65,-6.4,1.53,-2.5,8.4,100.0,.485,.497
Tex Clevenger,1954,1962,Truman Eugene Clevenger,us,['Pitcher'],Right,Right,-,-,-,-,8.0,36.0,37.0,.493,4.18,307.0,40.0,138.0,6.0,2.0,30.0,694.2,706.0,370.0,323.0,61.0,298.0,31.0,361.0,14.0,0.0,18.0,3045.0,94.0,3.94,1.445,9.1,0.8,3.9,4.7,1.21,4.79,4.40,-0.26,-0.04,102.2,4.73,-2,0.0,1.06,-0.7,5.3,51.0,.500,.500
Mike Clevinger,2016,2022,Michael Anthony Clevinger,us,['Pitcher'],Right,Right,-,-,-,-,6.0,45.0,23.0,.662,3.19,108.0,95.0,4.0,2.0,2.0,0.0,556.1,447.0,206.0,197.0,59.0,212.0,2.0,618.0,9.0,0.0,11.0,2265.0,140.0,3.52,1.185,7.2,1.0,3.4,10.0,2.92,3.33,4.60,0.22,0.19,0.00,102.4,4.68,82.0,8.8,.91,-0.5,13.8,140.0,.582
Stew Cliburn,1984,1988,Stewart Walker Cliburn,us,['Pitcher'],Right,Right,-,-,-,-,3.0,13.0,5.0,.722,3.11,85.0,1.0,40.0,0.0,0.0,6.0,185.0,173.0,73.0,64.0,16.0,59.0,13.0,91.0,7.0,4.0,3.0,766.0,130.0,3.93,1.254,8.4,0.8,2.9,4.4,1.54,3.55,4.58,0.05,-0.32,99.1,4.16,13.0,1.4,1.12,0.0,3.1,30.0,.516,.505
Tyler Clippard,2007,2021,Tyler Lee Clippard,us,['Pitcher'],Right,Right,-,-,-,-,15.0,56.0,48.0,.538,3.13,803.0,14.0,209.0,0.0,0.0,74.0,867.1,619.0,323.0,302.0,111.0,340.0,19.0,952.0,29.0,6.0,48.0,3547.0,132.0,3.86,1.106,6.4,1.2,3.5,9.9,2.80,3.35,4.40,0.00,-0.29,0.02,100.5,4.15,76.0,8.2,1.36,-0.5,15.9,154.0,.510
Tony Cloninger,1961,1972,Tony Lee Cloninger,us,['Pitcher'],Right,Right,-,-,-,-,12.0,113.0,97.0,.538,4.07,352.0,247.0,40.0,63.0,13.0,6.0,1767.2,1643.0,898.0,799.0,180.0,798.0,65.0,1120.0,33.0,9.0,119.0,7624.0,88.0,4.00,1.381,8.4,0.9,4.1,5.7,1.40,4.57,3.99,0.06,0.04,100.1,3.97,-134,-14.2,1.02,-1.1,2.1,41.0,.460,.493
Brad Clontz,1995,2000,John Bradley Clontz,us,['Pitcher'],Right,Right,-,-,-,-,6.0,22.0,8.0,.733,4.34,272.0,0.0,63.0,0.0,0.0,8.0,277.2,276.0,147.0,134.0,30.0,120.0,26.0,210.0,12.0,1.0,4.0,1209.0,101.0,4.45,1.426,8.9,1.0,3.9,6.8,1.75,4.76,4.79,0.17,-0.36,102.2,4.35,-13,-1.3,1.14,-0.6,0.5,12.0,.495,.498
Al Closter,1966,1973,Alan Edward Closter,us,['Pitcher'],Left,Left,-,-,-,-,4.0,2.0,2.0,.500,6.62,21.0,1.0,2.0,0.0,0.0,0.0,35.1,43.0,32.0,26.0,6.0,23.0,8.0,26.0,2.0,0.0,2.0,174.0,53.0,5.32,1.868,11.0,1.5,5.9,6.6,1.13,8.15,3.94,0.00,-0.13,99.5,3.80,-17,-1.8,1.01,-0.1,-1.6,-14,.414,.495
Ken Cloude,1997,1999,Kenneth Brian Cloude,us,['Pitcher'],Right,Right,-,-,-,-,3.0,16.0,16.0,.500,6.56,71.0,45.0,8.0,0.0,0.0,1.0,278.2,334.0,215.0,203.0,47.0,152.0,9.0,195.0,11.0,1.0,12.0,1303.0,71.0,5.68,1.744,10.8,1.5,4.9,6.3,1.28,6.94,5.14,-0.15,0.08,99.7,5.35,-49,-4.4,.73,-0.1,-1.6,-17,.438,.489
Bill Clowers,1926,1926,William Perry Clowers,us,['Pitcher'],Left,Left,-,-,-,-,1.0,0.0,0.0,,0.00,2.0,0.0,1.0,0.0,0.0,0.0,1.2,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,8.0,,3.03,1.200,10.8,0.0,0.0,0.0,,5.40,4.55,-0.05,0.00,102.0,4.69,0.0,0.0,.01,0.0,0.0,0.0,.494,.500
Tyler Cloyd,2012,2018,Tyler James Cloyd,us,['Pitcher'],Right,Right,-,-,-,-,4.0,5.0,9.0,.357,6.35,27.0,17.0,5.0,0.0,0.0,0.0,112.0,143.0,80.0,79.0,18.0,42.0,4.0,85.0,4.0,0.0,4.0,511.0,61.0,4.88,1.652,11.5,1.4,3.4,6.8,2.02,6.43,4.12,-0.31,0.05,101.6,4.54,-24,-2.4,.44,0.2,-1.2,-14,.412,.494
Bryan Clutterbuck,1986,1989,Bryan Richard Clutterbuck,us,['Pitcher'],Right,Right,-,-,-,-,2.0,2.0,6.0,.250,4.21,34.0,11.0,8.0,1.0,0.0,0.0,124.0,141.0,71.0,58.0,19.0,32.0,3.0,67.0,2.0,0.0,2.0,541.0,98.0,4.50,1.395,10.2,1.4,2.3,4.9,2.09,5.15,4.51,-0.31,-0.04,99.8,4.77,-6,-0.6,.74,-0.1,0.5,7.0,.483,.498
David Clyde,1973,1979,David Eugene Clyde,us,['Pitcher'],Left,Left,-,-,-,-,5.0,18.0,33.0,.353,4.63,84.0,73.0,6.0,10.0,0.0,0.0,416.1,457.0,243.0,214.0,33.0,180.0,4.0,228.0,12.0,2.0,29.0,1832.0,81.0,3.91,1.530,9.9,0.7,3.9,4.9,1.27,5.25,4.31,-0.24,0.09,98.2,4.56,-32,-3.3,.25,-0.2,0.6,7.0,.461,.495
Tom Clyde,1943,1943,Thomas Knox Clyde,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,9.00,4.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,8.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,32.0,41.0,7.32,1.833,10.5,1.5,6.0,0.0,0.00,12.00,4.07,-0.41,0.00,106.0,4.76,-5,-0.5,.68,0.1,-0.4,-4,.375,.497
Andy Coakley,1902,1911,Andrew James Coakley,us,['Pitcher'],Left,Right,-,-,-,-,9.0,58.0,59.0,.496,2.35,150.0,124.0,24.0,87.0,11.0,3.0,1072.1,1021.0,436.0,280.0,9.0,314.0,,428.0,26.0,2.0,15.0,4351.0,112.0,2.58,1.245,8.6,0.1,2.6,3.6,1.36,3.67,3.60,0.01,0.00,102.5,3.69,5.0,2.0,1.00,-0.9,11.2,83.0,.513,.504
Jim Coates,1956,1967,James Alton Coates,us,['Pitcher'],Right,Right,-,-,-,-,9.0,43.0,22.0,.662,4.00,247.0,46.0,89.0,13.0,4.0,17.0,683.1,650.0,336.0,304.0,65.0,286.0,25.0,396.0,25.0,3.0,19.0,2947.0,90.0,3.99,1.370,8.6,0.9,3.8,5.2,1.38,4.43,4.25,0.28,-0.05,95.3,3.73,-46,-4.9,1.14,-1.2,-0.2,3.0,.480,.497
Alex Cobb,2011,2022,Alexander Miller Cobb,us,['Pitcher'],Right,Right,-,-,-,-,11.0,66.0,61.0,.520,3.91,180.0,180.0,0.0,4.0,1.0,0.0,1036.0,1008.0,493.0,450.0,113.0,309.0,15.0,848.0,38.0,5.0,43.0,4352.0,104.0,3.91,1.271,8.8,1.0,2.7,7.4,2.74,4.28,4.60,0.05,0.19,0.00,97.5,4.64,34.0,4.5,,-0.8,13.9,143.0,.525
Herb Cobb,1929,1929,Herbert Edward Cobb,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,36.00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,17.0,18.79,4.000,27.0,9.0,9.0,0.0,0.00,36.00,5.98,0.32,0.00,108.0,6.11,-3,-0.2,.00,0.1,-0.1,-3,.257,.499
Jaime Cocanower,1983,1986,James Stanley Cocanower,pr,['Pitcher'],Right,Right,-,-,-,-,4.0,16.0,25.0,.390,3.99,79.0,47.0,10.0,5.0,1.0,0.0,365.2,371.0,208.0,162.0,21.0,201.0,5.0,139.0,20.0,3.0,32.0,1628.0,101.0,4.54,1.564,9.1,0.5,4.9,3.4,0.69,5.12,4.60,-0.23,0.06,98.5,4.81,-12,-1.1,.61,-0.2,2.1,22.0,.486,.496
Goat Cochran,1915,1915,Alvah Jackson Cochran,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,9.00,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,11.0,41.0,1.41,2.500,22.5,0.0,0.0,4.5,,13.50,3.83,0.28,0.00,100.0,3.55,-2,-0.2,.04,0.1,-0.1,-2,.289,.499
Pasqual Coco,2000,2002,Pasqual Coco,do,['Pitcher'],Right,Right,-,-,-,-,3.0,1.0,1.0,.500,6.05,10.0,2.0,4.0,0.0,0.0,0.0,19.1,21.0,14.0,13.0,1.0,14.0,1.0,11.0,3.0,0.0,1.0,96.0,81.0,5.23,1.810,9.8,0.5,6.5,5.1,0.79,6.52,4.73,-0.02,-0.11,101.8,4.74,-4,-0.4,.70,0.0,-0.2,-2,.464,.499
Gene Cocreham,1913,1915,Eugene Cocreham,us,['Pitcher'],Right,Right,-,-,-,-,3.0,3.0,5.0,.375,5.27,17.0,4.0,10.0,1.0,0.0,0.0,54.2,64.0,39.0,32.0,2.0,31.0,,18.0,1.0,0.0,2.0,243.0,57.0,4.03,1.738,10.5,0.3,5.1,3.0,0.58,6.38,4.08,0.26,0.00,102.2,3.91,-15,-1.5,.98,0.0,-1.1,-11,.409,.493
Chris Codiroli,1982,1990,Christopher Allen Codiroli,us,['Pitcher'],Right,Right,-,-,-,-,8.0,38.0,47.0,.447,4.87,144.0,108.0,13.0,13.0,2.0,3.0,670.1,711.0,413.0,363.0,76.0,261.0,15.0,312.0,23.0,3.0,22.0,2957.0,79.0,4.55,1.450,9.5,1.0,3.5,4.2,1.20,5.55,4.54,0.00,0.10,94.3,4.38,-87,-8.5,1.12,-0.6,-2.7,-23,.441,.491
Kyle Cody,2020,2021,Kyle David Cody,us,['Pitcher'],Right,Right,-,-,-,-,2.0,1.0,3.0,.250,3.71,15.0,5.0,5.0,0.0,0.0,0.0,34.0,31.0,16.0,14.0,4.0,15.0,0.0,32.0,3.0,0.0,4.0,147.0,123.0,4.42,1.353,8.2,1.1,4.0,8.5,2.13,4.24,5.03,0.34,-0.02,0.00,100.4,4.69,1.0,0.2,.72,-0.1,0.5,5.0,.515
Robert Coello,2010,2013,Robert Coello,us,['Pitcher'],Right,Right,-,-,-,-,3.0,2.0,3.0,.400,5.90,28.0,0.0,11.0,0.0,0.0,1.0,29.0,28.0,19.0,19.0,3.0,17.0,0.0,39.0,1.0,0.0,1.0,132.0,70.0,3.58,1.552,8.7,0.9,5.3,12.1,2.29,5.90,4.24,-0.12,-0.32,98.8,4.00,-6,-0.6,.87,0.1,-0.2,-3,.478,.499
Todd Coffey,2005,2012,Justin Todd Coffey,us,['Pitcher'],Right,Right,-,-,-,-,8.0,25.0,18.0,.581,4.10,461.0,0.0,108.0,0.0,0.0,11.0,438.2,483.0,220.0,200.0,49.0,138.0,23.0,329.0,22.0,0.0,18.0,1910.0,104.0,4.15,1.416,9.9,1.0,2.8,6.8,2.38,4.51,4.54,-0.10,-0.34,100.7,4.34,-8,-0.8,1.10,-0.3,2.8,29.0,.498,.500
Dick Coffman,1927,1945,Samuel Richard Coffman,us,['Pitcher'],Right,Right,-,-,-,-,15.0,72.0,95.0,.431,4.65,472.0,132.0,194.0,47.0,8.0,38.0,1460.1,1782.0,894.0,755.0,92.0,463.0,39.0,372.0,35.0,1.0,17.0,6526.0,96.0,4.33,1.537,11.0,0.6,2.9,2.3,0.80,5.52,5.04,0.05,0.00,103.6,5.18,-57,-5.2,1.18,-1.6,8.0,107.0,.489,.498
Kevin Coffman,1987,1990,Kevin Reese Coffman,us,['Pitcher'],Right,Right,-,-,-,-,3.0,4.0,11.0,.267,6.42,31.0,18.0,2.0,0.0,0.0,0.0,110.2,119.0,90.0,79.0,5.0,95.0,2.0,47.0,7.0,2.0,16.0,537.0,61.0,5.30,1.934,9.7,0.4,7.7,3.8,0.49,7.32,4.09,-0.39,0.07,104.6,4.76,-32,-3.2,.48,0.1,-2.1,-22,.396,.491
Slick Coffman,1937,1940,George David Coffman,us,['Pitcher'],Right,Right,-,-,-,-,4.0,15.0,12.0,.556,5.60,121.0,16.0,50.0,3.0,0.0,3.0,313.2,400.0,229.0,195.0,23.0,132.0,6.0,89.0,4.0,2.0,4.0,1454.0,86.0,4.58,1.696,11.5,0.7,3.8,2.6,0.67,6.57,5.26,0.00,0.00,105.3,5.54,-38,-3.5,.89,-0.1,-0.4,0.0,.471,.495
Tony Cogan,2001,2001,Anthony Michael Cogan,us,['Pitcher'],Left,Left,-,-,-,-,1.0,0.0,4.0,.000,5.84,39.0,0.0,7.0,0.0,0.0,0.0,24.2,32.0,17.0,16.0,7.0,13.0,0.0,17.0,5.0,0.0,1.0,119.0,83.0,7.55,1.824,11.7,2.6,4.7,6.2,1.31,6.20,5.31,0.32,-0.40,106.7,4.90,-4,-0.4,1.19,-0.1,-0.2,-1,.491,.498
Dave Coggin,2000,2002,David Raymond Coggin,us,['Pitcher'],Right,Right,-,-,-,-,3.0,10.0,12.0,.455,4.52,60.0,29.0,7.0,0.0,0.0,0.0,199.0,199.0,108.0,100.0,13.0,102.0,9.0,143.0,10.0,0.0,15.0,880.0,92.0,4.13,1.513,9.0,0.6,4.6,6.5,1.40,4.88,4.67,0.19,0.05,97.4,4.41,-11,-1.0,.92,-0.2,0.5,7.0,.483,.497
Hy Cohen,1955,1955,Hyman Cohen,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,7.94,7.0,1.0,0.0,0.0,0.0,0.0,17.0,28.0,17.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,86.0,53.0,5.37,2.235,14.8,1.1,5.3,2.1,0.40,9.00,4.33,0.34,0.00,99.6,3.97,-9,-0.8,.80,0.0,-0.6,-8,.379,.495
Jim Cohen,1948,1948,James Clarence Cohen,us,['Pitcher'],Right,Right,-,-,-,-,1.0,1.0,4.0,.200,3.47,7.0,6.0,1.0,5.0,0.0,0.0,49.1,47.0,29.0,19.0,1.0,15.0,0.0,17.0,0.0,0.0,1.0,211.0,138.0,3.24,1.257,8.6,0.2,2.7,3.1,1.13,5.29,6.05,0.27,0.00,100.0,5.78,7.0,0.6,1.00,-0.1,1.0,9.0,.585,.504
Syd Cohen,1934,1937,Sydney Harry Cohen,us,['Pitcher'],Both,Left,-,-,-,-,3.0,3.0,7.0,.300,4.54,55.0,3.0,32.0,2.0,0.0,5.0,109.0,133.0,72.0,55.0,7.0,37.0,4.0,49.0,3.0,2.0,4.0,483.0,100.0,4.27,1.560,11.0,0.6,3.1,4.0,1.32,5.96,5.78,0.17,0.00,94.6,5.31,-8,-0.7,1.15,-0.2,0.3,5.0,.487,.499
Phil Coke,2008,2016,Phillip Douglas Coke,us,['Pitcher'],Left,Left,-,-,-,-,9.0,22.0,27.0,.449,4.19,407.0,15.0,92.0,0.0,0.0,8.0,421.0,445.0,221.0,196.0,33.0,159.0,29.0,323.0,13.0,0.0,20.0,1823.0,101.0,3.79,1.435,9.5,0.7,3.4,6.9,2.03,4.72,4.53,-0.09,-0.25,102.9,4.50,-13,-1.4,1.21,-1.0,2.1,32.0,.497,.499
Vince Colbert,1970,1972,Vincent Norman Colbert,us,['Pitcher'],Right,Right,-,-,-,-,3.0,9.0,14.0,.391,4.57,95.0,21.0,30.0,3.0,1.0,4.0,248.1,251.0,138.0,126.0,23.0,125.0,16.0,127.0,14.0,3.0,13.0,1097.0,80.0,4.32,1.514,9.1,0.8,4.5,4.6,1.02,5.00,3.90,0.06,-0.06,104.9,3.97,-27,-3.1,.92,-0.2,-0.9,-8,.467,.495
Jim Colborn,1969,1978,James William Colborn,us,['Pitcher'],Right,Right,-,-,-,-,10.0,83.0,88.0,.485,3.80,301.0,204.0,32.0,60.0,8.0,7.0,1597.1,1619.0,750.0,675.0,153.0,475.0,41.0,688.0,41.0,9.0,36.0,6744.0,98.0,3.95,1.311,9.1,0.9,2.7,3.9,1.45,4.23,4.21,0.01,0.08,100.9,4.31,14.0,1.7,1.10,-1.0,16.4,162.0,.506,.502
Tom Colcolough,1893,1899,Thomas Bernard Colcolough,us,['Pitcher'],Right,Right,-,-,-,-,4.0,14.0,11.0,.560,5.89,49.0,31.0,17.0,22.0,0.0,2.0,319.1,397.0,275.0,209.0,10.0,166.0,,66.0,13.0,0.0,16.0,1497.0,79.0,5.16,1.763,11.2,0.3,4.7,1.9,0.40,7.75,6.63,0.06,0.00,97.2,6.39,-39,-2.6,1.00,-0.3,0.2,-3,.447,.495
A.J. Cole,2015,2021,Andrew Jordan Cole,us,['Pitcher'],Right,Right,-,-,-,-,7.0,14.0,10.0,.583,4.51,109.0,19.0,35.0,0.0,0.0,4.0,205.1,213.0,122.0,103.0,39.0,82.0,5.0,208.0,5.0,1.0,9.0,905.0,98.0,4.88,1.437,9.3,1.7,3.6,9.1,2.54,5.35,4.68,0.03,-0.08,0.06,100.2,4.62,-16,-1.3,.95,0.2,0.9,3.0,.488
Archie Cole,1923,1924,Archie Sloane Cole,us,['Pitcher'],-,Right,-,-,-,-,2.0,1.0,3.0,.250,9.11,10.0,5.0,3.0,0.0,0.0,0.0,26.2,35.0,34.0,27.0,2.0,22.0,,12.0,1.0,1.0,0.0,134.0,50.0,5.63,2.138,11.8,0.7,7.4,4.1,0.55,11.48,5.59,-0.13,0.00,100.0,5.72,-17,-1.1,1.00,0.0,-0.9,-14,.388,.494
Bert Cole,1921,1927,Albert George Cole,us,['Pitcher'],Left,Left,-,-,-,-,6.0,28.0,32.0,.467,4.67,177.0,47.0,86.0,18.0,4.0,9.0,605.2,735.0,393.0,314.0,25.0,230.0,,119.0,19.0,2.0,6.0,2746.0,88.0,4.23,1.593,10.9,0.4,3.4,1.8,0.52,5.85,4.99,-0.04,0.00,97.8,4.93,-64,-6.0,.82,-0.5,-0.1,8.0,.466,.494
Cecil Cole,1946,1946,Cecil Edward Cole,us,['Pitcher'],Right,Right,-,-,-,-,1.0,1.0,3.0,.250,8.16,9.0,4.0,1.0,0.0,0.0,0.0,28.2,34.0,33.0,26.0,1.0,25.0,0.0,5.0,1.0,0.0,0.0,150.0,54.0,5.41,2.058,10.7,0.3,7.8,1.6,0.20,10.36,4.78,,0.00,100.0,4.78,-17,-1.4,1.00,0.0,-1.2,-15,.346,.491
Dave Cole,1950,1955,David Bruce Cole,us,['Pitcher'],Right,Right,-,-,-,-,6.0,6.0,18.0,.250,4.93,84.0,27.0,31.0,3.0,1.0,0.0,237.1,221.0,151.0,130.0,16.0,199.0,6.0,119.0,7.0,1.0,12.0,1101.0,80.0,4.91,1.770,8.4,0.6,7.5,4.5,0.60,5.73,4.45,-0.10,0.00,96.7,4.41,-34,-3.3,.30,0.2,-0.6,-10,.461,.496
Ed Cole,1938,1939,Edward William Cole,us,['Pitcher'],Right,Right,-,-,-,-,2.0,1.0,7.0,.125,5.31,42.0,6.0,26.0,1.0,0.0,3.0,95.0,124.0,76.0,56.0,9.0,54.0,8.0,31.0,5.0,1.0,1.0,466.0,94.0,5.46,1.874,11.7,0.9,5.1,2.9,0.57,7.20,5.55,-0.43,0.00,103.2,6.18,-12,-1.0,1.06,-0.1,-0.2,1.0,.475,.496
Gerrit Cole,2013,2022,Gerrit Alan Cole,us,['Pitcher'],Right,Right,-,-,-,-,10.0,121.0,63.0,.658,3.19,242.0,242.0,0.0,6.0,3.0,0.0,1493.0,1273.0,571.0,529.0,158.0,385.0,6.0,1724.0,47.0,7.0,53.0,6036.0,129.0,3.09,1.111,7.7,1.0,2.3,10.4,4.48,3.44,4.52,0.16,0.20,0.00,98.7,4.50,174.0,19.1,,-1.1,31.6,314.0,.579
King Cole,1909,1915,Leonard Leslie Cole,us,['Pitcher'],Right,Right,-,-,-,-,6.0,54.0,27.0,.667,3.12,129.0,86.0,32.0,47.0,9.0,2.0,730.2,657.0,309.0,253.0,13.0,331.0,,298.0,26.0,2.0,25.0,3001.0,97.0,3.41,1.352,8.1,0.2,4.1,3.7,0.90,3.81,4.05,0.22,0.00,97.4,3.73,-5,0.5,1.04,-0.6,6.3,53.0,.504,.504
Taylor Cole,2017,2019,Taylor James Cole,us,['Pitcher'],Right,Right,-,-,-,-,3.0,7.0,6.0,.538,4.97,57.0,8.0,13.0,0.0,0.0,0.0,88.2,84.0,50.0,49.0,5.0,37.0,4.0,90.0,6.0,0.0,4.0,376.0,90.0,3.35,1.365,8.5,0.5,3.8,9.1,2.43,5.08,4.94,-0.03,-0.31,100.6,4.70,-4,-0.2,.97,-0.3,0.4,6.0,.496,.499
Victor Cole,1992,1992,Victor Alexander Cole,ru,['Pitcher'],Both,Right,-,-,-,-,1.0,0.0,2.0,.000,5.48,8.0,4.0,2.0,0.0,0.0,0.0,23.0,23.0,14.0,14.0,1.0,14.0,0.0,12.0,0.0,0.0,1.0,104.0,65.0,4.13,1.609,9.0,0.4,5.5,4.7,0.86,5.48,3.99,0.00,0.02,98.0,3.92,-4,-0.5,.16,0.0,-0.2,-2,.443,.497
Casey Coleman,2010,2014,Joseph Casey Coleman,us,['Pitcher'],Left,Right,-,-,-,-,4.0,8.0,13.0,.381,5.72,58.0,26.0,10.0,0.0,0.0,0.0,177.2,211.0,117.0,113.0,18.0,89.0,5.0,123.0,6.0,1.0,7.0,820.0,71.0,4.60,1.689,10.7,0.9,4.5,6.2,1.38,5.93,4.31,-0.16,0.06,104.3,4.72,-24,-2.5,.50,0.0,-0.9,-9,.458,.495
Dylan Coleman,2021,2022,Dylan David Coleman,us,['Pitcher'],Right,Right,-,-,-,-,2.0,1.0,1.0,.500,1.83,20.0,0.0,4.0,0.0,0.0,0.0,19.2,11.0,8.0,4.0,2.0,13.0,1.0,25.0,1.0,0.0,2.0,85.0,231.0,4.03,1.220,5.0,0.9,5.9,11.4,1.92,3.66,4.64,0.07,-0.30,0.28,107.3,4.89,2.0,0.2,.96,-0.1,0.3,4.0,.511
Joe Coleman,1942,1955,Joseph Patrick Coleman,us,['Pitcher'],Right,Right,-,-,-,-,10.0,52.0,76.0,.406,4.38,223.0,140.0,55.0,60.0,11.0,5.0,1134.0,1172.0,616.0,552.0,92.0,566.0,20.0,444.0,13.0,2.0,19.0,4993.0,92.0,4.36,1.533,9.3,0.7,4.5,3.5,0.78,4.89,4.64,0.01,0.00,100.1,4.63,-33,-2.9,.73,-0.5,5.9,59.0,.487,.499
Joe Coleman,1965,1979,Joseph Howard Coleman,us,['Pitcher'],Right,Right,-,-,-,-,15.0,142.0,135.0,.513,3.70,484.0,340.0,70.0,94.0,18.0,7.0,2569.1,2416.0,1202.0,1055.0,233.0,1003.0,65.0,1728.0,90.0,7.0,118.0,10948.0,97.0,3.65,1.331,8.5,0.8,3.5,6.1,1.72,4.21,4.02,-0.09,0.04,101.2,4.20,6.0,1.8,1.33,-1.6,24.7,216.0,.504,.502
John Coleman,1890,1890,John W. Coleman,us,['Pitcher'],-,Right,-,-,-,-,1.0,0.0,1.0,.000,21.60,1.0,1.0,0.0,0.0,0.0,0.0,1.2,4.0,8.0,4.0,0.0,3.0,,2.0,0.0,0.0,2.0,12.0,21.0,5.92,4.200,21.6,0.0,16.2,10.8,0.67,43.20,5.49,-0.13,0.00,103.0,5.78,-7,-0.4,,0.0,-0.4,-7,.138,.498
Louis Coleman,2011,2018,Harold Louis Coleman,us,['Pitcher'],Right,Right,-,-,-,-,7.0,12.0,6.0,.667,3.51,264.0,0.0,69.0,0.0,0.0,2.0,276.2,232.0,114.0,108.0,36.0,126.0,15.0,272.0,15.0,0.0,12.0,1164.0,119.0,4.36,1.294,7.5,1.2,4.1,8.8,2.16,3.71,4.50,0.09,-0.33,101.8,4.16,13.0,1.4,.96,-0.4,3.8,41.0,.505,.501
Percy Coleman,1897,1898,Pierce Devon Coleman,us,['Pitcher'],-,Right,-,-,-,-,2.0,1.0,3.0,.250,6.69,14.0,6.0,7.0,4.0,0.0,0.0,75.1,121.0,83.0,56.0,0.0,36.0,,12.0,9.0,0.0,4.0,382.0,65.0,4.73,2.084,14.5,0.0,4.3,1.4,0.33,9.92,5.91,-0.50,0.00,102.6,6.56,-26,-2.0,1.00,-0.1,-1.3,-19,.360,.490
Rip Coleman,1955,1960,Walter Gary Coleman,us,['Pitcher'],Left,Left,-,-,-,-,5.0,7.0,25.0,.219,4.58,95.0,33.0,26.0,3.0,1.0,5.0,247.1,287.0,144.0,126.0,21.0,124.0,2.0,130.0,4.0,1.0,6.0,1123.0,86.0,4.05,1.662,10.4,0.8,4.5,4.7,1.05,5.24,4.50,0.09,0.00,98.2,4.33,-25,-2.5,1.16,-0.5,-0.9,-5,.474,.497
Walter Coleman,1895,1895,Walter Lee Coleman,us,['Pitcher'],-,Left,-,-,-,-,1.0,0.0,1.0,.000,13.50,1.0,1.0,0.0,1.0,0.0,0.0,8.0,12.0,15.0,12.0,1.0,8.0,,5.0,1.0,0.0,1.0,44.0,37.0,7.33,2.500,13.5,1.1,9.0,5.6,0.63,16.88,6.70,-0.39,0.00,101.0,7.16,-8,-0.4,,0.0,-0.3,-8,.125,.498
