Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
Ted Abernathy,1955,1972,Theodore Wade Abernathy,us,['Pitcher'],Right,Right,-,-,-,-,14.0,63.0,69.0,.477,3.46,681.0,34.0,416.0,7.0,2.0,149.0,1148.1,1010.0,513.0,441.0,70.0,592.0,80.0,765.0,45.0,3.0,35.0,4963.0,107.0,3.61,1.395,7.9,0.5,4.6,6.0,1.29,4.03,4.05,-0.22,-0.13,103.8,4.28,29.0,4.3,1.51,1.4,16.6,127.0,.506,.504
Woody Abernathy,1946,1947,Virgil Woodrow Abernathy,us,['Pitcher'],Left,Left,-,-,-,-,2.0,1.0,1.0,.500,3.64,16.0,1.0,6.0,0.0,0.0,1.0,42.0,36.0,19.0,17.0,6.0,11.0,3.0,6.0,0.0,0.0,0.0,164.0,98.0,4.94,1.119,7.7,1.3,2.4,1.3,0.55,4.07,3.99,-0.02,0.00,100.8,4.04,0.0,0.0,.50,0.0,0.5,4.0,.503,.501
Harry Ables,1905,1911,Harry Terrell Ables,us,['Pitcher'],Right,Left,-,-,-,-,3.0,1.0,5.0,.167,4.04,14.0,8.0,6.0,4.0,0.0,0.0,71.1,79.0,51.0,32.0,2.0,30.0,,41.0,1.0,1.0,5.0,317.0,68.0,2.95,1.528,10.0,0.3,3.8,5.2,1.37,6.59,3.67,0.00,0.00,100.1,3.68,-22,-2.1,1.00,-0.1,-1.4,-17,.352,.496
George Abrams,1923,1923,George Allen Abrams,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,9.64,3.0,0.0,1.0,0.0,0.0,0.0,4.2,10.0,5.0,5.0,0.0,3.0,,1.0,1.0,0.0,0.0,24.0,44.0,5.18,2.786,19.3,0.0,5.8,1.9,0.33,9.64,4.97,0.20,0.00,95.8,4.57,-3,-0.2,.29,0.1,-0.1,-2,.419,.498
Johnny Abrego,1985,1985,Johnny Ray Abrego,us,['Pitcher'],Right,Right,-,-,-,-,1.0,1.0,1.0,.500,6.38,6.0,5.0,0.0,0.0,0.0,0.0,24.0,32.0,18.0,17.0,3.0,12.0,1.0,13.0,0.0,0.0,0.0,109.0,63.0,4.73,1.833,12.0,1.1,4.5,4.9,1.08,6.75,3.91,-0.15,0.11,107.7,4.49,-6,-0.6,1.27,0.0,-0.4,-4,.395,.496
Albert Abreu,2020,2022,Albert Enmanuel Abreu,do,['Pitcher'],Right,Right,-,-,-,-,3.0,2.0,1.0,.667,5.32,36.0,0.0,15.0,0.0,0.0,1.0,45.2,35.0,28.0,27.0,11.0,32.0,1.0,45.0,5.0,1.0,3.0,205.0,81.0,6.75,1.467,6.9,2.2,6.3,8.9,1.41,5.52,4.66,-0.14,-0.30,0.37,98.6,4.77,-4,-0.4,1.14,-0.2,-0.2,1.0,.489
Bryan Abreu,2019,2022,Bryan Enrique Abreu,do,['Pitcher'],Right,Right,-,-,-,-,4.0,5.0,3.0,.625,4.38,53.0,0.0,8.0,0.0,0.0,1.0,63.2,56.0,36.0,31.0,5.0,34.0,0.0,76.0,7.0,0.0,6.0,281.0,97.0,3.72,1.414,7.9,0.7,4.8,10.7,2.24,5.09,4.71,0.45,-0.30,0.27,97.7,4.13,-8,-0.8,1.14,-0.4,-0.6,-1,.485
Juan Abreu,2011,2011,Juan de Dios Abreu,do,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,2.70,7.0,0.0,2.0,0.0,0.0,0.0,6.2,6.0,2.0,2.0,1.0,3.0,0.0,12.0,5.0,0.0,0.0,34.0,149.0,4.98,1.350,8.1,1.4,4.1,16.2,4.00,2.70,4.17,0.08,-0.31,99.2,3.75,1.0,0.1,.12,-0.1,0.1,1.0,.512,.501
Winston Abreu,2006,2009,Winston Leonardo Abreu,do,['Pitcher'],Right,Right,-,-,-,-,3.0,0.0,1.0,.000,7.31,38.0,0.0,6.0,0.0,0.0,0.0,44.1,57.0,39.0,36.0,10.0,19.0,2.0,38.0,2.0,1.0,2.0,207.0,60.0,5.84,1.714,11.6,2.0,3.9,7.7,2.00,7.92,4.91,-0.06,-0.36,95.8,4.42,-17,-1.6,.68,0.3,-0.8,-13,.459,.497
Jeremy Accardo,2005,2012,Jeremiah Lee Accardo,us,['Pitcher'],Right,Right,-,-,-,-,8.0,10.0,20.0,.333,4.30,262.0,0.0,115.0,0.0,0.0,38.0,284.2,288.0,143.0,136.0,24.0,111.0,16.0,205.0,9.0,2.0,10.0,1222.0,102.0,4.05,1.402,9.1,0.8,3.5,6.5,1.85,4.52,4.84,0.19,-0.36,99.9,4.29,-8,-0.8,1.20,-0.1,1.9,22.0,.497,.501
Domingo Acevedo,2021,2022,Domingo Antonio Acevedo,do,['Pitcher'],Right,Right,-,-,-,-,2.0,0.0,1.0,.000,3.64,28.0,0.0,9.0,0.0,0.0,0.0,29.2,27.0,12.0,12.0,7.0,8.0,0.0,26.0,1.0,1.0,0.0,120.0,104.0,5.34,1.180,8.2,2.1,2.4,7.9,3.25,3.64,4.89,-0.19,-0.31,0.00,92.2,4.40,1.0,0.2,1.01,-0.1,0.4,5.0,.506
Jose Acevedo,2001,2005,Jose Omar Acevedo,do,['Pitcher'],Right,Right,-,-,-,-,5.0,18.0,25.0,.419,5.74,104.0,59.0,11.0,1.0,0.0,1.0,368.1,420.0,246.0,235.0,71.0,113.0,14.0,253.0,12.0,2.0,9.0,1628.0,77.0,5.19,1.447,10.3,1.7,2.8,6.2,2.24,6.01,4.58,-0.06,0.09,101.5,4.80,-50,-4.8,.89,-0.3,-1.9,-17,.454,.490
